,,,,,,,,,
,,CUADRO No.3 
Número de casos acumulados, recuperados, fallecidos y activos por COVID-191 
Por provincia,cantón y distrito,,,,,,,
,,17 de noviembre de 2020,,,,,,,
,,,,,,ACUMULADOS,RECUPERADOS,FALLECIDOS,ACTIVOS
,,Provincia,,Cantón,Distrito,Casos*,Casos*,Casos*,Casos*
,,,,,,,,,
,,,,,Santa Rosa,29,16,0,13
,,,,,Santa Teresita,25,18,0,7
,,,,,Tayutic,12,5,0,7
,,,,,Tres Equis,4,2,0,2
,,,,,Tuis,17,8,1,8
,,,,,Turrialba,186,123,2,61
,,,,,Sin información de distrito,2,2,0,0
,,,,Sin información de Cantón,,0,0,0,0
,,Heredia,,,,14248,8849,166,5233
,,,,Barva,,1170,856,10,304
,,,,,Barva,215,146,3,66
,,,,,San José de la Montaña,143,100,0,43
,,,,,San Pablo,205,146,1,58
,,,,,San Pedro,296,229,1,66
,,,,,San Roque,123,95,1,27
,,,,,Santa Lucía,183,135,4,44
,,,,,Sin información de distrito,5,5,0,0
,,,,Belén,,747,549,5,193
,,,,,La Asunción,134,88,1,45
,,,,,La Ribera,281,215,1,65
,,,,,San Antonio,328,242,3,83
,,,,,Sin información de distrito,4,4,0,0
,,,,Flores,,736,520,5,211
,,,,,Barrantes,145,100,1,44
,,,,,Llorente,319,228,1,90
,,,,,San Joaquín,270,191,3,76
,,,,,Sin información de distrito,2,1,0,1
,,,,Heredia,,4957,2770,73,2114
,,,,,Heredia,774,412,14,348
,,,,,Mercedes,752,411,10,331
,,,,,San Francisco,2512,1483,32,997
,,,,,Ulloa,906,454,17,435
,,,,,Varablanca,2,1,0,1
,,,,,Sin información de distrito,11,9,0,2
,,,,San Isidro,,709,472,14,223
,,,,,Concepción,85,58,2,25
,,,,,San Francisco,153,100,2,51
,,,,,San Isidro,289,211,5,73
,,,,,San José,181,102,5,74
,,,,,Sin información de distrito,1,1,0,0
,,,,San Pablo,,876,575,13,288
,,,,,Rincón de Sabanilla,184,133,1,50
,,,,,San Pablo,691,441,12,238
,,,,,Sin información de distrito,1,1,0,0
,,,,San Rafael,,1406,1043,15,348
,,,,,Ángeles,253,185,1,67
,,,,,Concepción,107,81,0,26
,,,,,San Josecito,422,319,1,102
,,,,,San Rafael,391,286,9,96
,,,,,Santiago,222,163,4,55
,,,,,Sin información de distrito,11,9,0,2
,,,,Santa Bárbara,,936,512,8,416
,,,,,Jesús,205,119,1,85
,,,,,Purabá,81,31,0,50
,,,,,San Juan,219,132,4,83
,,,,,San Pedro,96,49,0,47
,,,,,Santa Bárbara,274,158,3,113
,,,,,Santo Domingo,60,22,0,38
,,,,,Sin información de distrito,1,1,0,0
,,,,Santo Domingo,,1456,871,16,569
,,,,,Pará,175,102,2,71
,,,,,Paracito,58,32,0,26
,,,,,San Miguel,155,73,3,79
,,,,,San Vicente,224,139,4,81
,,,,,Santa Rosa,336,210,2,124
,,,,,Santo Domingo,231,136,4,91
,,,,,Santo Tomás,127,77,1,49
,,,,,Tures,150,102,0,48
,,,,,Sin información de distrito,0,0,0,0
,,,,Sarapiquí,,1255,681,7,567
,,,,,Cureña,5,1,0,4
,,,,,La Virgen,197,118,4,75
,,,,,Las Horquetas,458,300,1,157
,,,,,Llanuras del Gaspar,6,3,0,3
,,,,,Puerto Viejo,587,257,2,328
,,,,,Sin información de distrito,2,2,0,0
,,,,Sin información de Cantón,,0,0,0,0
,,Guanacaste,,,,5580,3164,48,2368
,,,,Abangares,,307,230,0,77
,,,,,Colorado,68,37,0,31
,,,,,Las Juntas,179,142,0,37
,,,,,San Juan,25,19,0,6
,,,,,Sierra,35,32,0,3
,,,,,Sin información de distrito,0,0,0,0
,,,,Bagaces,,236,178,1,57
,,,,,Bagaces,154,119,1,34
,,,,,La Fortuna,30,24,0,6
,,,,,Mogote,33,21,0,12
,,,,,Río Naranjo,17,12,0,5
,,,,,Sin información de distrito,2,2,0,0
,,,,Cañas,,536,399,5,132
,,,,,Bebedero,25,18,0,7
,,,,,Cañas,470,351,5,114
,,,,,Palmira,10,7,0,3
,,,,,Porozal,3,0,0,3
,,,,,San Miguel,25,20,0,5
,,,,,Sin información de distrito,3,3,0,0
,,,,Carrillo,,413,259,3,151
,,,,,Belén,83,55,1,27
,,,,,Filadelfia,93,62,1,30
,,,,,Palmira,56,39,0,17
,,,,,Sardinal,175,97,1,77
,,,,,Sin información de distrito,6,6,0,0
,,,,Hojancha,,117,101,1,15
,,,,,Hojancha,97,84,1,12
,,,,,Huacas,1,1,0,0
,,,,,Matambú,12,11,0,1
,,,,,Monte Romo,3,1,0,2
,,,,,Puerto Carrillo,4,4,0,0
,,,,,Sin información de distrito,0,0,0,0
,,,,La Cruz,,421,304,4,113
,,,,,La Cruz,333,236,4,93
,,,,,La Garita,27,21,0,6
,,,,,Santa Cecilia,50,39,0,11
,,,,,Santa Elena,9,6,0,3
,,,,,Sin información de distrito,2,2,0,0
,,,,Liberia,,1388,374,5,1009
,,,,,Cañas Dulces,38,9,0,29
,,,,,Curubandé,28,5,0,23
,,,,,Liberia,1279,346,5,928
,,,,,Mayorga,17,4,0,13
,,,,,Nacascolo,24,8,0,16
,,,,,Sin información de distrito,2,2,0,0
,,,,Nandayure,,124,76,4,44
,,,,,Bejuco,15,12,0,3
,,,,,Carmona,40,21,1,18
,,,,,Porvenir,7,5,2,0
,,,,,San Pablo,18,15,0,3
,,,,,Santa Rita,36,17,0,19
,,,,,Zapotal,8,6,1,1
,,,,,Sin información de distrito,0,0,0,0
,,,,Nicoya,,936,723,16,197
,,,,,Belén de Nosarita,20,17,0,3
,,,,,Mansión,70,47,3,20
,,,,,Nicoya,565,444,8,113
,,,,,Nosara,114,89,2,23
,,,,,Quebrada Honda,37,29,0,8
,,,,,Sámara,34,29,0,5
,,,,,San Antonio,92,64,3,25
,,,,,Sin información de distrito,4,4,0,0
,,,,Santa Cruz,,907,371,6,530
,,,,,Bolsón,22,6,1,15
,,,,,Cabo Velas,56,18,1,37
,,,,,Cartagena,66,21,0,45
,,,,,Cuajiniquil,23,18,1,4
,,,,,Diriá,49,17,0,32
,,,,,Santa Cruz,375,153,2,220
,,,,,Tamarindo,78,22,0,56
,,,,,Tempate,182,82,0,100
,,,,,Veintisiete de Abril,49,27,1,21
,,,,,Sin información de distrito,7,7,0,0
,,,,Tilarán,,195,149,3,43
,,,,,Arenal,21,17,2,2
,,,,,Líbano,4,4,0,0
,,,,,Quebrada Grande,27,20,0,7
,,,,,Santa Rosa,18,12,0,6
,,,,,Tierras Morenas,6,3,0,3
,,,,,Tilarán,102,81,1,20
,,,,,Tronadora,17,12,0,5
,,,,,Sin información de distrito,0,0,0,0
,,,,Sin información de Cantón,,0,0,0,0
,,Puntarenas,,,,9879,5465,133,4281
,,,,Buenos Aires,,380,44,8,328
,,,,,Biolley,5,2,1,2
,,,,,Boruca,16,3,0,13
,,,,,Brunka,23,2,1,20
,,,,,Buenos Aires,279,31,4,244
,,,,,Chánguena,2,0,0,2
,,,,,Colinas,2,0,0,2
,,,,,Pilas,2,0,0,2
,,,,,Potrero Grande,33,3,2,28
,,,,,Volcán,18,3,0,15
,,,,,Sin información de distrito,0,0,0,0
,,,,Corredores,,1233,855,12,366
,,,,,Canoas,431,323,3,105
,,,,,Corredor,481,328,5,148
,,,,,La Cuesta,172,105,2,65
,,,,,Laurel,147,99,2,46
,,,,,Sin información de distrito,2,0,0,2
