,,,,,,,,,,
,"CUADRO No.7-2 
Número de casos acumulados, recuperados, fallecidos y activos por COVID-191 
Por provincia,cantón y distrito",,,,,,,,,Volver al Índice
,1,"de julio,2020",,,,,,,,
,,,,CASOS COVID-19,ACUMULADOS,RECUPERADOS,FALLECIDOS,ACTIVOS,,
,Provincia,,Cantón,Distrito,Casos*,Casos*,Casos*,Casos*,,
,,,,,,,,,,
,,,,Palmira,0,0,0,0,,
,,,,Porozal,0,0,0,0,,
,,,,San Miguel,7,4,0,3,,
,,,,Sin información de distrito,0,0,0,0,,
,,,Carrillo,,6,5,0,1,,
,,,,Belén,0,0,0,0,,
,,,,Filadelfia,1,1,0,0,,
,,,,Palmira,1,1,0,0,,
,,,,Sardinal,4,3,0,1,,
,,,,Sin información de distrito,0,0,0,0,,
,,,Hojancha,,17,11,0,6,,
,,,,Hojancha,6,3,0,3,,
,,,,Huacas,0,0,0,0,,
,,,,Matambú,11,8,0,3,,
,,,,Monte Romo,0,0,0,0,,
,,,,Puerto Carrillo,0,0,0,0,,
,,,,Sin información de distrito,0,0,0,0,,
,,,La Cruz,,36,14,0,22,,
,,,,La Cruz,31,13,0,18,,
,,,,La Garita,1,0,0,1,,
,,,,Santa Cecilia,1,1,0,0,,
,,,,Santa Elena,3,0,0,3,,
,,,,Sin información de distrito,0,0,0,0,,
,,,Liberia,,57,18,0,39,,
,,,,Cañas Dulces,1,1,0,0,,
,,,,Curubandé,0,0,0,0,,
,,,,Liberia,55,16,0,39,,
,,,,Mayorga,0,0,0,0,,
,,,,Nacascolo,1,1,0,0,,
,,,,Sin información de distrito,0,0,0,0,,
,,,Nandayure,,1,1,0,0,,
,,,,Bejuco,0,0,0,0,,
,,,,Carmona,1,1,0,0,,
,,,,Porvenir,0,0,0,0,,
,,,,San Pablo,0,0,0,0,,
,,,,Santa Rita,0,0,0,0,,
,,,,Zapotal,0,0,0,0,,
,,,,Sin información de distrito,0,0,0,0,,
,,,Nicoya,,67,4,1,62,,
,,,,Belén de Nosarita,0,0,0,0,,
,,,,Mansión,1,0,0,1,,
,,,,Nicoya,60,3,1,56,,
